Feature/Button Name,Location,User Action,API Call,Request Parameters,Backend Response Structure,Database Queries,Calculations Performed,Layers Accessed,Statistics Displayed,Calculation Method,Verification Status
"Maintenance Levels Array","src/types/impact.ts","Available maintenance levels","N/A","N/A","N/A","N/A","N/A","No layers","Breaches, RedCapacity, Perfect","Constant array","✅ VERIFIED"
"Color Scheme - Return Period","src/components/impact-matrix/views/SummaryHeatmapView.tsx:12","Return period color gradient","N/A","N/A","N/A","N/A","N/A","No layers","Light red (2.3yrs) to dark red (500yrs)","HSL color mapping","✅ VERIFIED"
"Color Scheme - Depth Bins","Multiple files","Depth bin colors","N/A","N/A","N/A","N/A","N/A","No layers","6 bins with 6 colors (green to red)","Color scale mapping","✅ VERIFIED"
"Opacity Default","Multiple files","Default layer opacity","N/A","N/A","N/A","N/A","N/A","No layers","0.7 for impact layers, 0.6 for flood layers","Constant","✅ VERIFIED"
"API Caching","api/impact-summary.mjs:96","Cache impact API responses","N/A","N/A","N/A","N/A","N/A","No layers","Cached responses (5-minute TTL)","In-memory Map cache","✅ VERIFIED"
"Cache Key Generation","api/impact-summary.mjs:101","Build cache key from parameters","N/A","N/A","N/A","N/A","N/A","No layers","Format: impact:{climate}:{maintenance}:{returnPeriod}","String interpolation","✅ VERIFIED"
"Cache TTL Configuration","api/impact-summary.mjs:97","Cache time-to-live","N/A","N/A","N/A","N/A","N/A","No layers","300000ms (5 minutes)","Environment variable","✅ VERIFIED"
"Connection Pool Configuration","api/impact-summary.mjs:109","Database connection pool","N/A","N/A","N/A","N/A","N/A","No layers","max: 10, min: 2, idleTimeout: 10s, connectionTimeout: 5s","Connection limits","Constant","✅ VERIFIED"
"Decimal Workaround - Backend","api/impact-summary.mjs:561","Replace 2.3 with 23 in layer names","N/A","N/A","N/A","N/A","replace('2.3', '23')","No layers","T3_23yrs_...","String replacement","✅ VERIFIED"
"Decimal Workaround - Frontend","src/types/impact.ts:253","Replace 2.3yrs with 23yrs","N/A","N/A","N/A","N/A","replace('2.3yrs', '23yrs')","No layers","T3_23yrs_...","String replacement","✅ VERIFIED"
"Severity Calculation - Low","api/impact-summary.mjs:607","Calculate low severity","N/A","N/A","N/A","N/A","affectedCount <= 2","No layers","Severity: low","Conditional logic","✅ VERIFIED"
"Severity Calculation - Medium","api/impact-summary.mjs:608","Calculate medium severity","N/A","N/A","N/A","N/A","affectedCount <= 5","No layers","Severity: medium","Conditional logic","✅ VERIFIED"
"Severity Calculation - High","api/impact-summary.mjs:609","Calculate high severity","N/A","N/A","N/A","N/A","affectedCount <= 7","No layers","Severity: high","Conditional logic","✅ VERIFIED"
"Severity Calculation - Extreme","api/impact-summary.mjs:610","Calculate extreme severity","N/A","N/A","N/A","N/A","affectedCount > 7","No layers","Severity: extreme","Conditional logic","✅ VERIFIED"
"Infrastructure Average Calculation","src/components/impact-matrix/views/DetailedBreakdownView.tsx:145","Calculate infrastructure impact %","N/A","N/A","N/A","N/A","(sum affectedFeatures) / (sum totalFeatures) * 100 for Roads, Railways, Electric_Grid, Telecom_Towers","No layers","Infrastructure Impact %","Division + multiplication","✅ VERIFIED"
"Ag/Buildings Average Calculation","src/components/impact-matrix/views/DetailedBreakdownView.tsx:157","Calculate ag/buildings impact %","N/A","N/A","N/A","N/A","(sum affectedFeatures) / (sum totalFeatures) * 100 for Cropped_Area, Buildings","No layers","Ag & Buildings Impact %","Division + multiplication","✅ VERIFIED"
"Affected Layers Count","src/components/impact-matrix/views/DetailedBreakdownView.tsx:164","Count affected exposure types","N/A","N/A","N/A","N/A","Count of impacts where affectedFeatures > 0","No layers","X of 9 exposure types affected","Array.filter().length","✅ VERIFIED"
"Average Affected Calculation","src/components/impact-matrix/views/SummaryHeatmapView.tsx:131","Calculate average affected exposures","N/A","N/A","N/A","N/A","sum(totalAffectedExposures) / totalScenarios","No layers","Average affected: X.X","Division","✅ VERIFIED"
"Extreme Scenarios Count","src/components/impact-matrix/views/SummaryHeatmapView.tsx:123","Count extreme scenarios","N/A","N/A","N/A","N/A","Count of scenarios where severity === 'extreme'","No layers","Extreme scenarios: X","Array.filter().length","✅ VERIFIED"
"High Scenarios Count","src/components/impact-matrix/views/SummaryHeatmapView.tsx:124","Count high scenarios","N/A","N/A","N/A","N/A","Count of scenarios where severity === 'high'","No layers","High scenarios: X","Array.filter().length","✅ VERIFIED"
"Total Scenarios Count","src/components/impact-matrix/views/SummaryHeatmapView.tsx:121","Count total scenarios","N/A","N/A","N/A","N/A","scenarios.length","No layers","Total scenarios: X","Array.length","✅ VERIFIED"
"With Impact Count","src/components/impact-matrix/views/SummaryHeatmapView.tsx:122","Count scenarios with any impact","N/A","N/A","N/A","N/A","Count of scenarios where totalAffectedExposures > 0","No layers","With impact: X","Array.filter().length","✅ VERIFIED"
"Layer ID Generation","src/components/impact-matrix/ImpactMatrix.tsx:193","Build layer ID for map","N/A","N/A","N/A","N/A","impact.geoserverLayer","No layers","Layer name","Property access","✅ VERIFIED"
"Layer Name Fallback","src/components/impact-matrix/views/DetailedBreakdownView.tsx:181","Fallback layer name construction","N/A","N/A","N/A","N/A","scenario.scenarioId + '_' + layerType","No layers","Layer name","String concatenation","✅ VERIFIED"
"Depth Bin Array Construction","api/impact-summary.mjs:520","Build depth bin array","N/A","N/A","N/A","N/A","Map 6 depth bins with ranges, counts, percentages","No layers","Depth bins: [{range, minDepth, maxDepth, count, percentage}]","Array construction","✅ VERIFIED"
"Depth Bin Percentage - Normal","api/impact-summary.mjs:548","Calculate depth bin % for normal layers","N/A","N/A","N/A","N/A","(bin.count / totalAffected) * 100","No layers","Percentage by bin","Division + multiplication","✅ VERIFIED"
"Depth Bin Percentage - Zonal","api/impact-summary.mjs:532","Calculate depth bin % for zonal layers","N/A","N/A","SELECT depth_bin, ST_Area(geom)/10000 as area_hectares FROM table","For Cropped_Area and Built_up_Area: use area-based distribution","No layers","Percentage by bin","Area sum + division","✅ VERIFIED"
"Population Depth Bin Percentage","api/impact-summary.mjs:577","Calculate population depth bin %","N/A","N/A","N/A","N/A","(bin.population / totalPop) * 100","No layers","Population % by bin","Division + multiplication","✅ VERIFIED"
"Scenario Matrix Organization","src/components/impact-matrix/views/SummaryHeatmapView.tsx:86","Organize scenarios by return period and maintenance","N/A","N/A","N/A","N/A","Map with key '{returnPeriod}|{maintenance}'","No layers","7x3 matrix (7 return periods × 3 maintenance)","Map construction","✅ VERIFIED"
"Scenario Lookup by Cell","src/components/impact-matrix/views/SummaryHeatmapView.tsx:98","Get scenario for matrix cell","N/A","N/A","N/A","N/A","scenarioMatrix.get('{returnPeriod}|{maintenance}')","No layers","Scenario object","Map.get()","✅ VERIFIED"
"Exposure Layer Types Array","src/types/impact.ts","Define available exposure layers","N/A","N/A","N/A","N/A","N/A","No layers","['BHU', 'Buildings', 'Built_up_Area', 'Cropped_Area', 'Electric_Grid', 'Railways', 'Roads', 'Settlements', 'Telecom_Towers']","Constant array","✅ VERIFIED"
"Return Period Intensity Mapping","src/components/impact-matrix/views/SummaryHeatmapView.tsx:12","Map return period to color intensity","N/A","N/A","N/A","N/A","N/A","No layers","HSL colors with varying lightness","Object lookup","✅ VERIFIED"
"Geometry Type Mapping","api/impact-summary.mjs:592","Map exposure type to geometry type","N/A","N/A","N/A","N/A","Check if layerType in pointLayers, lineLayers, or polygonLayers","No layers","'point' | 'line' | 'polygon'","Array.includes()","✅ VERIFIED"
"Workspace Mapping","api/impact-summary.mjs:562","Determine GeoServer workspace","N/A","N/A","N/A","N/A","N/A","exposures","Constant","✅ VERIFIED"
"Impact Layer Legend URL","src/config/layers.ts:50","Build legend graphic URL","N/A","N/A","N/A","N/A","N/A","No layers","Legend image URL","String interpolation","✅ VERIFIED"
"WMS Request URL Builder","Multiple files","Build WMS request URL","N/A","N/A","N/A","N/A","baseUrl + '/wms?REQUEST=GetMap&LAYERS={workspace}:{layer}&VERSION=1.1.1'","No layers","WMS map image","String interpolation","✅ VERIFIED"
"Depth Bin Color Scale","Multiple files","Map depth bin to color","N/A","N/A","N/A","N/A","N/A","No layers","6 colors from green (shallow) to red (deep)","Color mapping","✅ VERIFIED"
"Affected Features Calculation","api/impact-summary.mjs:518","Get affected features count","N/A","N/A","N/A","SELECT affected_features FROM impact_summary_matview","row.affected_features or geometry-based affected","No layers","Affected count","Property access or DB query","✅ VERIFIED"
"Total Features Calculation","api/impact-summary.mjs:519","Get total features count","N/A","N/A","N/A","SELECT total_features FROM impact_summary_matview or geometry-based total","totalFeatureCounts[layerType] or totalAffected","No layers","Total count","Property access or DB query","✅ VERIFIED"
"Affected Percentage Display","Multiple files","Display affected % in UI","N/A","N/A","N/A","N/A","affectedFeatures / totalFeatures * 100","No layers","X of Y (Z%)","Division + multiplication","✅ VERIFIED"
"Max Depth Bin Display","Multiple files","Display maximum depth bin","N/A","N/A","N/A","N/A","row.max_depth_bin","No layers","Max depth bin (e.g., '1-2m')","Property access","✅ VERIFIED"
"Depth Bin Count Display","Multiple files","Display count per depth bin","N/A","N/A","N/A","N/A","bin.count for each bin","No layers","Count: X (Y%)","Property access","✅ VERIFIED"
"Depth Bin Range Display","Multiple files","Display depth bin range","N/A","N/A","N/A","N/A","bin.range for each bin","No layers","Range label (e.g., '1-2m')","Property access","✅ VERIFIED"
"Layer Visibility State","Multiple files","Track layer visibility","N/A","N/A","N/A","N/A","visible: true/false","No layers","Layer is shown/hidden","Boolean state","✅ VERIFIED"
"Layer Opacity State","Multiple files","Track layer opacity","N/A","N/A","N/A","N/A","opacity: 0-1","No layers","Layer opacity (0-100%)","Number state","✅ VERIFIED"
"Layer Expanded State","Multiple files","Track layer group expanded state","N/A","N/A","N/A","N/A","expanded: true/false","No layers","Group is expanded/collapsed","Boolean state","✅ VERIFIED"
"Scenario ID Construction","api/impact-summary.mjs:470","Build scenario identifier","N/A","N/A","N/A","N/A","N/A","No layers","T3_{rp}yrs_{Climate}_{Maintenance}_Impacted","String interpolation","✅ VERIFIED"
"Cache Miss Handling","api/impact-summary.mjs:352","Handle cache miss","N/A","N/A","N/A","Execute DB query, then cache result","N/A","No layers","X-Cache: MISS header","Cache.has() check","✅ VERIFIED"
"Cache Hit Handling","api/impact-summary.mjs:353","Handle cache hit","N/A","N/A","N/A","Return cached result immediately","N/A","No layers","X-Cache: HIT header","Cache.has() check","✅ VERIFIED"
"CQL Filter Application","src/components/map/","Apply CQL filter to WMS layer","WMS GetMap with FILTER parameter","CQL filter string","N/A","No layers","Filtered features","URL parameter","✅ VERIFIED"
"Filter Scenario Impacts","src/lib/depth-filter.ts:30","Filter scenario impacts by depth","N/A","N/A","N/A","N/A","For each impact: if maxDepthBin.depthValue > threshold, keep it","No layers","Filtered impacts array","Array.filter()","✅ VERIFIED"
"Recalculate Severity After Filter","src/lib/depth-filter.ts:46","Recalculate severity after depth filtering","N/A","N/A","N/A","N/A","count of impacts with affectedFeatures > 0, then map to severity","No layers","Updated severity level","Array.filter() + count","✅ VERIFIED"
"Total Affected Exposures Recalc","src/lib/depth-filter.ts:46","Recalculate total affected exposures","N/A","N/A","N/A","N/A","Count of impacts where affectedFeatures > 0 after filtering","No layers","Updated count (0-9)","Array.filter().length","✅ VERIFIED"
"Percentage Rounding","api/impact-summary.mjs:301","Round percentage to 2 decimals","N/A","N/A","N/A","N/A","Math.round(percentage * 100) / 100","No layers","X.XX%","Math.round","✅ VERIFIED"
"Geometry Length Calculation","api/impact-summary.mjs:153","Calculate line geometry length","N/A","N/A","N/A","SELECT SUM(ST_Length(geom))","No layers","Total length in meters","PostGIS ST_Length()","✅ VERIFIED"
"Geometry Area Calculation","api/impact-summary.mjs:159","Calculate polygon geometry area","N/A","N/A","N/A","SELECT SUM(ST_Area(geom))","No layers","Total area in sq meters","PostGIS ST_Area()","✅ VERIFIED"
"Geometry Area in Hectares","api/impact-summary.mjs:276","Convert area to hectares","N/A","N/A","N/A","ST_Area(geom) / 10000.0","No layers","Area in hectares","Division","✅ VERIFIED"
"Affected Length Calculation","api/impact-summary.mjs:230","Calculate affected line length","N/A","N/A","N/A","SELECT SUM(ST_Length(geom)) WHERE depth_bin IS NOT NULL","No layers","Affected length in meters","PostGIS ST_Length() with WHERE","✅ VERIFIED"
"Affected Area Calculation","api/impact-summary.mjs:237","Calculate affected polygon area","N/A","N/A","N/A","SELECT SUM(ST_Area(geom)) WHERE depth_bin IS NOT NULL","No layers","Affected area in sq meters","PostGIS ST_Area() with WHERE","✅ VERIFIED"
"Population Impact Object","api/impact-summary.mjs:481","Build population impact object","N/A","N/A","N/A","N/A","N/A","No layers","{totalPopulation, affectedPopulation, affectedPercentage, depthBins[]}","Object construction","✅ VERIFIED"
"Population Depth Bin Object","api/impact-summary.mjs:485","Build population depth bin object","N/A","N/A","N/A","N/A","Parse population stats row","No layers","{range, population, percentage}","Object construction","✅ VERIFIED"
"Impact Object Construction","api/impact-summary.mjs:554","Build impact object","N/A","N/A","N/A","N/A","N/A","No layers","{layerType, totalFeatures, affectedFeatures, maxDepthBin, depthBins[], geoserverLayer, workspace, geometryType}","Object construction","✅ VERIFIED"
"Scenario Object Construction","api/impact-summary.mjs:473","Build scenario object","N/A","N/A","N/A","N/A","N/A","No layers","{scenarioId, climate, maintenance, returnPeriod, totalAffectedExposures, severity, impacts{}, populationImpact{}}","Object construction","✅ VERIFIED"
"Layer Info Object Construction","src/components/impact-matrix/ImpactMatrix.tsx:192","Build layer info object","N/A","N/A","N/A","N/A","N/A","Impact layer","{id, name, type, geometryType, visible, opacity, geoserverName, workspace}","Object construction","✅ VERIFIED"
"Format Climate Label","src/types/impact.ts","Format climate for display","N/A","N/A","N/A","N/A","N/A","No layers","'Present' or 'Future'","String mapping","✅ VERIFIED"
"Format Maintenance Label","src/types/impact.ts","Format maintenance for display","N/A","N/A","N/A","N/A","N/A","No layers","'Breaches', 'Reduced Capacity', or 'Perfect'","String mapping","✅ VERIFIED"
"Build Impact Schema Name","src/types/impact.ts","Build schema name for database","N/A","N/A","N/A","N/A","N/A","No layers","T3_{rp}yrs_{Climate}_{Maintenance}_Impacted","String interpolation","✅ VERIFIED"
"Parse Scenario ID","src/types/impact.ts:264","Parse scenario ID into components","N/A","N/A","N/A","N/A","N/A","No layers","{returnPeriod, climate, maintenance}","Regex parsing","✅ VERIFIED"
"Sanitize Layer Name","src/types/impact.ts:254","Sanitize layer name for GeoServer (2.3→23)","N/A","N/A","N/A","N/A","replace('2.3yrs', '23yrs')","No layers","T3_23yrs_...","String replacement","✅ VERIFIED"
"Normalize Scenario ID","src/types/impact.ts:272","Reverse sanitize scenario ID (23→2.3)","N/A","N/A","N/A","N/A","replace('23yrs', '2.3yrs')","No layers","T3_2.3yrs_...","String replacement","✅ VERIFIED"
"Build Impact Layer Name","src/types/impact.ts:244","Build GeoServer layer name","N/A","N/A","N/A","N/A","N/A","No layers","T3_{rp}yrs_{Climate}_{Maintenance}_Impacted_{layerType}","String interpolation","✅ VERIFIED"
"Exposure Layer Geometry","src/types/impact.ts","Get geometry type for exposure layer","N/A","N/A","N/A","N/A","EXPOSURE_LAYER_GEOMETRY[layerType]","No layers","'point', 'line', or 'polygon'","Object lookup","✅ VERIFIED"
"Disabled State - Refresh Button","src/components/impact-matrix/views/DetailedBreakdownView.tsx:224","Disable refresh when loading","N/A","N/A","N/A","N/A","N/A","No layers","Button disabled while loading","isLoading prop check","✅ VERIFIED"
"Disabled State - Sort Selector","src/components/impact-matrix/views/DetailedBreakdownView.tsx:88","Enable/disable sort based on data","N/A","N/A","N/A","N/A","N/A","No stats","Sort options always enabled","No condition","✅ VERIFIED"
"Disabled State - Toggle All","src/components/impact-matrix/views/DetailedBreakdownView.tsx:194","Enable/disable toggle all","N/A","N/A","N/A","N/A","Only enabled for layers with affectedFeatures > 0","No layers","Conditional rendering","✅ VERIFIED"
"Error State - API Failure","src/components/impact-matrix/hooks/useImpactData.ts:74","Handle API errors","N/A","N/A","N/A","N/A","Set error state with message","No layers","Error message displayed","try-catch with setError","✅ VERIFIED"
"Loading State - Data Fetch","src/components/impact-matrix/hooks/useImpactData.ts:49","Show loading indicator","N/A","N/A","N/A","N/A","Set isLoading to true","No layers","Spinner displayed","setIsLoading(true)","✅ VERIFIED"
"Empty State - No Scenarios","src/components/impact-matrix/views/SummaryHeatmapView.tsx:148","Show empty state message","N/A","N/A","N/A","N/A","N/A","No layers","'No scenarios available'","scenarios.length === 0 check","✅ VERIFIED"
"Hover State - Scenario Cell","src/components/impact-matrix/views/SummaryHeatmapView.tsx:80","Show hover tooltip","N/A","N/A","N/A","N/A","Set hoveredScenario state","No layers","Cell highlighting","onMouseEnter/onMouseLeave","✅ VERIFIED"
"Selected State - Scenario Cell","src/components/impact-matrix/views/SummaryHeatmapView.tsx:106","Show selected state","N/A","N/A","N/A","N/A","Check if scenarioId matches selectedScenario","No layers","Cell border","Equality check","✅ VERIFIED"
"Mobile Responsive - Sidebar","src/components/layer-tree/","Collapse sidebar on mobile","N/A","N/A","N/A","N/A","Check viewport width","No layers","Sidebar is overlay on mobile","useMediaQuery()","✅ VERIFIED"
"Mobile Responsive - Controls","src/components/map/","Adapt controls for mobile","N/A","N/A","N/A","N/A","Adjust button/panel sizes","No layers","Smaller buttons on mobile","CSS media queries","✅ VERIFIED"
"Resizable Sidebar","src/components/layer-tree/","Drag sidebar edge to resize","N/A","N/A","N/A","N/A","Update width state (200-600px range)","No layers","Sidebar width: {width}px","Mouse event handler","✅ VERIFIED"
"Copy Coordinates to Clipboard","src/components/map/","Click coordinate display","None","N/A","N/A","N/A","N/A","No layers","Coordinates copied","navigator.clipboard.writeText()","✅ VERIFIED"
"Zoom to Layer Extent","src/components/map/","Fit map to layer bounds","WMS GetFeatureInfo or layer extent","N/A","Extent coordinates","N/A","View fits layer","map.getView().fit()","✅ VERIFIED"
"Layer Reordering","src/components/layer-tree/","Drag layers to reorder","N/A","N/A","N/A","N/A","Update array order","No layers","Layer order in tree","Array reordering","✅ VERIFIED"
"Layer Grouping","src/config/layers.ts","Organize layers hierarchically","N/A","N/A","N/A","N/A","Parent-child relationships","No layers","Nested layer tree","Nested objects","✅ VERIFIED"
"WMS Parameter Encoding","Multiple files","Encode WMS parameters","N/A","N/A","N/A","N/A","encodeURIComponent()","No layers","Encoded URL parameters","URL encoding","✅ VERIFIED"
"WMS Version Header","Multiple files","Set WMS version","N/A","N/A","N/A","N/A","VERSION=1.1.1","No layers","WMS version string","Constant","✅ VERIFIED"
"WMS Format Parameter","Multiple files","Set response format","N/A","N/A","N/A","N/A","FORMAT=image/png","No layers","Image format","Constant","✅ VERIFIED"
"WMS SRS Parameter","Multiple files","Set spatial reference system","N/A","N/A","N/A","N/A","SRS=EPSG%3A32642","No layers","UTM Zone 42N","Constant","✅ VERIFIED"
"WMS BBOX Parameter","Multiple files","Set bounding box","N/A","N/A","N/A","N/A","BBOX=minX,minY,maxX,maxY","No layers","Map extent","Calculated from view","✅ VERIFIED"
"WMS WIDTH/HEIGHT","Multiple files","Set image dimensions","N/A","N/A","N/A","N/A","WIDTH={pixels}, HEIGHT={pixels}","No layers","Map size in pixels","Calculated from container","✅ VERIFIED"
"WMS EXCEPTIONS","Multiple files","Request exception format","N/A","N/A","N/A","N/A","EXCEPTIONS=application/vnd.ogc.se_xml","No layers","Exception format","Constant","✅ VERIFIED"
"WMS TRANSPARENT","Multiple files","Set transparent background","N/A","N/A","N/A","N/A","TRANSPARENT=TRUE","No layers","Transparent PNG","Constant","✅ VERIFIED"
"Layer Style Application","api/apply-style-to-new-layers.mjs","Apply style to layers","PUT /geoserver/rest/layers/{workspace}:{layer}","JSON: {layer: {defaultStyle: {name: 'impact_depth_simple', workspace: 'exposures'}}}","N/A","N/A","No layers","Style applied","HTTP PUT request","✅ VERIFIED"
"Layer Publishing","tools/geoserver/publish_schema_layers.py","Publish layer to GeoServer","POST /geoserver/rest/workspaces/{workspace}/datastores/{store}/featuretypes","JSON: {featureType: {name, nativeName, title, srs, nativeCRS, projectionPolicy, enabled}}","N/A","N/A","No layers","Layer published","HTTP POST request","✅ VERIFIED"
"Store Creation","tools/geoserver/exp_to_geoserver.py","Create data store for schema","POST /geoserver/rest/workspaces/{workspace}/datastores","JSON: {dataStore: {name, connectionParameters: {entry: [{@key: host, $: host}, {@key: schema, $: schema}]}}}","N/A","N/A","No layers","Store created","HTTP POST request","✅ VERIFIED"
"Health Check - Pool Status","api/impact-summary.mjs:619","Check connection pool health","GET /api/health","N/A","{status: 'ok', pool: {totalCount, idleCount, waitingCount}}","N/A","No layers","Connection pool status","Pool property access","✅ VERIFIED"